method,mae,gradient_corr,ridge_f1,ridge_tolerant_recall_2px,ridge_tolerant_f1_2px,ridge_pixel_ratio
VQ-VAE 128,0.055181,0.895160,0.918723,0.999121,0.994418,1.054088
Latent-32 proxy,0.224280,-0.058475,0.086356,0.139742,0.218926,0.109622
