sensor,n_real,n_synth,real_foreground_frac_mean,real_foreground_frac_std,synth_foreground_frac_mean,synth_foreground_frac_std,delta_foreground_frac,p_foreground_frac,real_ridge_clarity_mean,real_ridge_clarity_std,synth_ridge_clarity_mean,synth_ridge_clarity_std,delta_ridge_clarity,p_ridge_clarity,real_ridge_contrast_mean,real_ridge_contrast_std,synth_ridge_contrast_mean,synth_ridge_contrast_std,delta_ridge_contrast,p_ridge_contrast,real_edge_strength_mean,real_edge_strength_std,synth_edge_strength_mean,synth_edge_strength_std,delta_edge_strength,p_edge_strength,real_background_std_mean,real_background_std_std,synth_background_std_mean,synth_background_std_std,delta_background_std,p_background_std
A,250,250,0.63761865234375,0.08463287699114729,0.5531527099609375,0.08863109632347847,-0.08446594238281258,6.062982266018398e-25,0.08044167825579643,0.01089788086236294,0.16689238199591636,0.05853406281897315,0.08645070374011993,4.5282956854006394e-65,0.3574242965579033,0.07163906636439642,0.6081239000558853,0.178158355721213,0.25069960349798204,3.158846626672967e-61,0.40012866878509523,0.06052586239139568,0.9200765922665596,0.35699495415862137,0.5199479234814643,5.970104656520623e-64,0.04231679751398042,0.016086301103938706,0.01501696058548987,0.021963396391883154,-0.02729983692849055,2.035621519957626e-45
B,250,250,0.89141796875,0.05834732503538441,0.6698859252929688,0.11268219096741444,-0.22153204345703126,3.27817117329142e-92,0.18018117839097977,0.02696288863980555,0.1527753075659275,0.063995472388802,-0.027405870825052275,1.3228734207900277e-09,0.5142854970693588,0.07391408949132292,0.5699937216043472,0.17552171549793716,0.05570822453498847,5.361395020773931e-06,1.044507435798645,0.18931169666214637,0.8351810730099678,0.3964459236631627,-0.20932636278867722,4.0917436516914665e-13,0.13265574786067008,0.042087974694299916,0.01984636324393796,0.03021596233307953,-0.11280938461673212,2.207796255986924e-128
C,250,250,0.454502197265625,0.1195710240523294,0.40002313232421877,0.0909657747901536,-0.05447906494140625,1.773320315429933e-08,0.1679925754070282,0.033815686986592014,0.174511719673872,0.037914201619883466,0.0065191442668438015,0.04300349876336485,0.5995953096151352,0.15138901925062945,0.6437757053375244,0.1401748723598015,0.04418039572238919,0.0007661717027263345,0.8061269936561585,0.18831789243421676,0.9312921222448349,0.23818009367682608,0.12516512858867646,1.8318732833470212e-10,0.013916788425958657,0.01577317254844113,0.00895955439528916,0.01668093292414667,-0.004957234030669496,0.0006921424166531727
D,250,250,0.9520663452148438,0.0067717802568574076,0.6885106811523437,0.10521487688230022,-0.2635556640625001,8.76495136521384e-110,0.24938617308437824,0.14206343527430448,0.1530997996330261,0.06002468861358811,-0.09628637345135213,2.4188297807031713e-20,0.7365834609866142,0.31409793222379756,0.5777803375720978,0.16908218340930126,-0.1588031234145164,9.035049714347749e-12,1.4823827432394028,0.8975339522369636,0.832258024930954,0.37233930423921796,-0.6501247183084488,9.8279637277134e-23,0.30283436462283136,0.09120124671418943,0.019519037765741813,0.028825723679760627,-0.28331532685708954,1.6190352565004412e-139
E,250,250,0.440220947265625,0.11047895546208288,0.38416827392578123,0.08659741342675972,-0.05605267333984376,6.303713186575291e-10,0.13932763928174974,0.02649022805474078,0.16462689942121506,0.0355177804154541,0.025299260139465318,4.793570536163614e-18,0.5189380553364754,0.1561011543442962,0.6228972699046135,0.1401831875952455,0.10395921456813806,2.921318232850517e-14,0.6504548234939576,0.14317579334906677,0.8679371730089188,0.21244546446382634,0.21748234951496126,1.2438385975430117e-34,0.0004890981703065336,0.0009695731874130779,0.005457337694941089,0.012970080314070273,0.004968239524634555,5.512002328188359e-09
F,250,250,0.5797201538085938,0.08278131589022371,0.4856773071289063,0.09540895390591793,-0.09404284667968749,2.47533297103691e-28,0.16734817528724671,0.008529818505743412,0.16071459954977035,0.047740904084510045,-0.00663357573747636,0.031456465031918505,0.6773333523273468,0.019209914726835083,0.6044204086661339,0.1578116045159356,-0.07291294366121293,4.860396695930991e-12,0.8052509632110596,0.07822799479720438,0.8666673007011414,0.29397970832397063,0.061416337490081796,0.001570808298704357,1.4257944400014821e-05,3.5379864789810455e-05,0.000820667150313966,0.0007685692292229169,0.0008064092059139512,3.968206884552385e-42
G,250,250,0.49705255126953124,0.17674347882558072,0.3948846435546875,0.16407359399280771,-0.10216790771484374,5.7332908617664794e-11,0.18909830248355866,0.02295373701538535,0.1591436800211668,0.03963922717811352,-0.02995462246239186,2.3173054330302127e-22,0.5861647276878357,0.07156161405342856,0.6009192311763764,0.1477925880075889,0.014754503488540682,0.1562680594406351,0.9055745458602905,0.14109426133351305,0.8278462718725205,0.23767525051004787,-0.07772827398777005,1.1290316597751146e-05,0.08116359532251954,0.05777705398501998,0.010089891795883887,0.019001671991439543,-0.07107370352663565,1.541625124676304e-51
H,250,250,0.8693878784179687,0.09373609989943944,0.6564281616210937,0.13046313256420564,-0.21295971679687498,1.2004456347631772e-68,0.3259282476902008,0.010646478880244729,0.15249913331866263,0.06253581933784376,-0.17342911437153816,1.2809010459619428e-121,0.8882274496555328,0.02459855305775384,0.5692000222802163,0.17644958329595273,-0.31902742737531653,3.2451677138238554e-81,1.8034862122535706,0.09009574764624939,0.8273451400995254,0.3835147957973645,-0.9761410721540452,7.651675183291868e-115,0.003030773739636061,0.01889344869021737,0.02104227878106758,0.031132635572346964,0.01801150504143152,4.4975265270560505e-14
