sensor,image,method,active_fg_pct,interior_active_pct,components_per_10k_active,small_component_pct,largest_component_px
A,A/roll/png/00002329_A_roll_04.png,Sauvola,44.69102981499676,31.089430427036035,80.89545376171044,42.09591474245116,12034.0
A,A/roll/png/00002329_A_roll_04.png,Canny,18.167048745561143,0.0,135.37874235622635,52.21932114882507,1849.0
A,A/roll/png/00002340_A_roll_09.png,Sauvola,45.42449433789356,28.52691116074645,55.47950140500036,54.87012987012987,10725.0
A,A/roll/png/00002340_A_roll_09.png,Canny,12.036885514171631,0.0,198.490925158045,55.821917808219176,472.0
A,A/roll/png/00002341_A_roll_08.png,Sauvola,43.58355167294892,30.59017422696594,79.57934390205618,52.662721893491124,7483.0
A,A/roll/png/00002341_A_roll_08.png,Canny,10.732047694949342,0.0,202.7027027027027,60.062893081761004,657.0
A,A/roll/png/00002342_A_roll_09.png,Sauvola,47.176287051482056,34.189231248054774,36.57018362900716,51.41843971631206,10979.0
A,A/roll/png/00002342_A_roll_09.png,Canny,14.008136796060077,0.0,166.39734463030092,53.018372703412076,1867.0
A,A/roll/png/00002353_A_roll_08.png,Sauvola,45.54005074302283,23.14656373114728,132.11826972820248,49.096385542168676,2032.0
A,A/roll/png/00002353_A_roll_08.png,Canny,13.529358463211308,0.0,394.4812805572299,73.6842105263158,135.0
A,A/roll/png/00002380_A_roll_09.png,Sauvola,45.54568170514672,35.57651826123566,41.83770129460057,36.79245283018868,7908.0
A,A/roll/png/00002380_A_roll_09.png,Canny,4.410874684659312,0.0,153.51175112077163,42.47787610619469,392.0
A,A/roll/png/00002392_A_roll_06.png,Sauvola,45.4474318910058,37.95373064391339,41.08230627567644,40.318302387267906,5087.0
A,A/roll/png/00002392_A_roll_06.png,Canny,11.124262699399264,0.0,132.22331047992165,37.37373737373738,815.0
A,A/roll/png/00002398_A_roll_05.png,Sauvola,45.76470484998991,33.93093398270474,51.00377734742009,53.7593984962406,5636.0
A,A/roll/png/00002398_A_roll_05.png,Canny,8.863714142805746,0.0,146.5201465201465,46.62162162162162,651.0
A,A/roll/png/00002401_A_roll_01.png,Sauvola,45.941025063162016,36.8756696745543,38.98635477582846,43.04635761589404,4708.0
A,A/roll/png/00002401_A_roll_01.png,Canny,11.05839372768572,0.0,108.87053523543923,37.4384236453202,546.0
A,A/roll/png/00002425_A_roll_08.png,Sauvola,45.31106108666735,30.913735674363462,54.05634279907412,42.03655352480418,17342.0
A,A/roll/png/00002425_A_roll_08.png,Canny,14.619359459736007,0.0,145.66929133858267,51.651651651651655,950.0
